Unnamed: 0,pregunta,opciones,respuesta,argumento,referencia
10,Una empresa quiere revisar sus costos mensuales de uso de Amazon EC2 y Amazon RDS durante el año pasado. ¿Qué servicio o herramienta de AWS proporciona esta información?,"A. AWS Trusted Advisor.
B. Cost Explorer.
C. Pronóstico del Amazonas.
D. Amazon CloudWatch.",B. Cost Explorer.,"Cost Explorer es una poderosa herramienta de AWS que permite a los usuarios analizar y visualizar sus costos y uso de AWS a lo largo del tiempo. Proporciona varias funciones para comprender, explorar y gestionar los costos de forma eficaz. Con Cost Explorer, los usuarios pueden ver sus costos mensuales y el uso de servicios específicos de AWS, incluidos Amazon EC2 y Amazon RDS. Ofrece informes prediseñados, filtros personalizables y visualizaciones para ayudar a analizar patrones de gastos, identificar factores de costos y realizar un seguimiento de los gastos a lo largo del tiempo.",https://aws.amazon.com/aws-cost-management/aws-cost-explorer/
11,Una empresa quiere migrar una aplicación crítica a AWS. La aplicación tiene un tiempo de ejecución corto. La aplicación se invoca mediante cambios en los datos o cambios en el estado del sistema. La empresa necesita una solución informática que maximice la eficiencia operativa y minimice el costo de ejecución de la aplicación. ¿Qué solución de AWS debería utilizar la empresa para cumplir con estos requisitos?,"A. Instancias bajo demanda de Amazon EC2.
B. AWS Lambda.
C. Instancias reservadas de Amazon EC2.
D. Instancias puntuales de Amazon EC2.",B. AWS Lambda.,"AWS Lambda
        1. Ejecute código sin aprovisionar ni administrar infraestructura. Simplemente escriba y cargue el código como un archivo .zip o una imagen de contenedor.
        2. Responda automáticamente a solicitudes de ejecución de código a cualquier escala, desde una docena de eventos por día hasta cientos de miles por segundo.
        3. Ahorre costos pagando solo por la computadora",https://aws.amazon.com/lambda/
12,¿Qué servicio o característica de AWS permite a los usuarios conectarse e implementar servicios de AWS mediante programación?,"A. Consola de administración de AWS.
B. Nube de AWS9.
C. AWS CodePipeline.
D. Kits de desarrollo de software (SDK) de AWS.",D. Kits de desarrollo de software (SDK) de AWS.,"Los kits de desarrollo de software (SDK) de AWS permiten a los usuarios conectarse e implementar servicios de AWS mediante programación, utilizando lenguajes de programación como Java, Python, .NET y más. Los SDK de AWS proporcionan API que abstraen las interacciones de bajo nivel con los servicios y permiten a los desarrolladores administrar los servicios y recursos de AWS desde sus propias aplicaciones. Los SDK de AWS están disponibles para múltiples lenguajes y plataformas de programación.",https://docs.aws.amazon.com/sdk-for-java/?icmpid=docs_homepage_sdktoolkits
13,Una empresa planea crear un lago de datos que utilice Amazon S3. ¿Qué factor tendrá el MAYOR efecto en el costo?,"A. La selección de niveles de almacenamiento S3.
B. Cargos por transferir datos existentes a Amazon S3.
C. La adición de políticas de depósito S3.
D. Tarifas de ingesta de S3 para cada solicitud.",A. La selección de niveles de almacenamiento S3.,"La clase de almacenamiento utilizada en Amazon S3 ciertamente puede tener un impacto en el costo de un lago de datos, ya que diferentes clases de almacenamiento tienen diferentes niveles de precios. Por ejemplo, utilizar la clase de almacenamiento Glacier para datos a los que se accede con poca frecuencia puede ser mucho más económico que utilizar la clase de almacenamiento Estándar para datos a los que se accede con frecuencia. Sin embargo, en la mayoría de los casos, la cantidad de datos almacenados tendrá un impacto mayor en el costo total que la clase de almacenamiento utilizada. Esto se debe a que el uso del almacenamiento es generalmente el principal factor de costo en un lago de datos basado en S3, independientemente de la clase de almacenamiento. Por lo tanto, es importante monitorear y administrar cuidadosamente la cantidad de datos que se almacenan en el depósito de S3 para mantener los costos bajo control.",https://aws.amazon.com/s3/pricing/
14,Una empresa lanza una aplicación de comercio electrónico que debe estar siempre disponible. La aplicación se ejecutará en instancias Amazon EC2 de forma continua durante los próximos 12 meses. ¿Cuál es la opción de compra de instancias MÁS rentable que cumple con estos requisitos?,"A. Instancias puntuales.
B. Planes de Ahorro.
C. Anfitriones dedicados.
D. Instancias bajo demanda.",B. Planes de Ahorro.,"Los planes de ahorro de Amazon EC2 le permiten reducir sus costos de computación comprometiéndose a una cantidad constante de uso de computación por un período de 1 o 3 años. Esto se traduce en ahorros de hasta un 72 % sobre los costos de las instancias bajo demanda. Cualquier uso hasta el compromiso se cobra a la tarifa con descuento del Plan de Ahorros (por ejemplo, $10 por hora). Cualquier uso que supere el compromiso se cobra según las tarifas habituales de instancias bajo demanda.",https://aws.amazon.com/ Savingsplans/
15,¿Qué servicio o característica de AWS puede utilizar una empresa para determinar qué unidad de negocio utiliza recursos de AWS específicos?,"A. Etiquetas de asignación de costos.
B. Pares de claves.
C. Amazon Inspector.
D. AWS Trusted Advisor.",A. Etiquetas de asignación de costos.,"Las etiquetas de asignación de costos son un mecanismo proporcionado por AWS para asignar metadatos a los recursos de AWS con fines de categorización y seguimiento de costos. Al aplicar etiquetas de asignación de costos a los recursos, las empresas pueden asociar metadatos personalizados para identificar y categorizar recursos según diferentes criterios, como unidad de negocio, departamento, proyecto o aplicación. Al utilizar etiquetas de asignación de costos, las empresas pueden rastrear y analizar sus costos de AWS en función de las etiquetas asignadas. Esto les permite determinar la distribución de costos entre diferentes unidades de negocio o cualquier otra categorización relevante. Las etiquetas de asignación de costos brindan visibilidad granular del uso y gasto de recursos, lo que permite una atribución y un análisis de costos precisos.",https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/cost-alloc-tags.html
16,"Una empresa quiere migrar sus cargas de trabajo a AWS, pero carece de experiencia en computación en la nube de AWS. ¿Qué servicio o característica de AWS ayudará a la empresa con su migración?","A. AWS Trusted Advisor.
B. Socios consultores de AWS.
C. AWS Artifact.
D. Servicios administrados de AWS.",D. Servicios administrados de AWS.,"AWS Managed Services es un servicio ofrecido por AWS que ayuda a las organizaciones a migrar sus cargas de trabajo a la nube de AWS. Proporciona una gestión integral de la infraestructura de AWS y automatiza tareas comunes, lo que permite a la empresa centrarse en su negocio principal en lugar de preocuparse por las complejidades de gestionar el entorno de la nube. Con AWS Managed Services, la empresa puede beneficiarse de expertos certificados por AWS que se encargarán de la gestión diaria de su infraestructura de AWS. Esto incluye actividades como aprovisionamiento, monitoreo, aplicación de parches, respaldo y seguridad. El servicio garantiza que se sigan las mejores prácticas y que las cargas de trabajo de la empresa estén optimizadas en términos de rendimiento, costo y seguridad. Al aprovechar los servicios administrados de AWS, la empresa puede superar su falta de experiencia en computación en la nube de AWS y realizar una migración sin problemas a la plataforma de AWS.",https://docs.aws.amazon.com/managedservices/latest/userguide/what-is-ams.html
17,¿Qué servicio o herramienta de AWS debería utilizar una empresa para solicitar y realizar un seguimiento centralizado de los aumentos en los límites de servicio?,"A. Configuración de AWS.
B. Cuotas de Servicio.
C. Catálogo de servicios de AWS.
D. AWS Budgets.",B. Cuotas de Servicio.,"Service Quotas es un servicio de AWS que permite a los usuarios ver, administrar y solicitar aumentos en los límites de servicio para varios servicios de AWS. Los límites de servicio son límites predefinidos establecidos por AWS sobre el uso de recursos o servicios específicos dentro de una cuenta de AWS. Al utilizar cuotas de servicio, una empresa puede gestionar de forma centralizada sus límites de servicio y solicitar aumentos cuando sea necesario. Proporciona visibilidad de los límites actuales, el uso y la cuota disponible para cada servicio. El servicio incluye una interfaz para enviar solicitudes de aumento de límites, realizar un seguimiento del estado de las solicitudes y recibir notificaciones sobre actualizaciones.",https://aws.amazon.com/about-aws/whats-new/2021/04/service-quotas-available-aws-govcloud-us-regions/
18,¿Qué documentación proporciona AWS Artifact?,"A. Términos y condiciones de Amazon EC2.
B. Certificaciones ISO de AWS.
C. Un historial del gasto en AWS de una empresa.
D. Una lista de tipos de instancias de Amazon EC2 de la generación anterior.",B. Certificaciones ISO de AWS.,"AWS Artifact brinda acceso a varios documentos relacionados con el cumplimiento, incluidas las certificaciones ISO de AWS. Las certificaciones ISO son estándares internacionales que definen las mejores prácticas para los sistemas de gestión de seguridad de la información. A través de AWS Artifact, los clientes pueden acceder a las certificaciones ISO de AWS, como ISO 27001, que especifica los requisitos para establecer, implementar, mantener y mejorar continuamente un sistema de gestión de seguridad de la información dentro del contexto de los servicios de AWS.",https://docs.aws.amazon.com/artifact/latest/ug/what-is-aws-artifact.html
19,¿Qué tarea requiere el uso de credenciales de usuario raíz de la cuenta de AWS?,"A. Ver información de facturación.
B. Cambiar el plan de AWS Support.
C. Iniciar y detener instancias de Amazon EC2.
D. Abrir un caso de AWS Support.",B. Cambiar el plan de AWS Support.,"Cambiar el plan de AWS Support, que incluye actualizar o degradar el nivel de soporte, normalmente requiere los privilegios asociados con el usuario raíz de la cuenta de AWS. El usuario raíz tiene acceso completo y permisos para administrar todos los aspectos de la cuenta de AWS, incluidas las configuraciones relacionadas con la facturación y el soporte.",https://docs.aws.amazon.com/accounts/latest/reference/root-user-tasks.html
20,Una empresa necesita procesar simultáneamente cientos de solicitudes de diferentes usuarios. ¿Qué combinación de servicios de AWS debería utilizar la empresa para crear una solución operativamente eficiente?,"A. Amazon Simple Queue Service (Amazon SQS) y AWS Lambda.
B. AWS Data Pipeline y Amazon EC2.
C. Amazon Kinesis y Amazon Athena.
D. AWS Amplify y AWS AppSync.",A. Amazon Simple Queue Service (Amazon SQS) y AWS Lambda.,"La combinación de SQS y Lambda ofrece varios beneficios:
                     Escalabilidad: SQS permite manejar una gran cantidad de solicitudes, mientras que Lambda escala automáticamente la capacidad de procesamiento en función de la carga de trabajo entrante.
                     Confiabilidad: SQS garantiza una entrega confiable de mensajes y las funciones Lambda están diseñadas para ser sin estado y tolerantes a fallas.
                     Desacoplamiento: el desacoplamiento de servicios a través de SQS permite un acoplamiento flexible, lo que permite que los componentes evolucionen de forma independiente y escale por separado.",
21,¿Cuál es el alcance de una VPC dentro de la red de AWS?,"A. Una VPC puede abarcar todas las zonas de disponibilidad a nivel mundial.
B. Una VPC debe abarcar al menos dos subredes en cada región de AWS.
C. Una VPC debe abarcar al menos dos ubicaciones de borde en cada región de AWS.
D. Una VPC puede abarcar todas las zonas de disponibilidad dentro de una región de AWS.",D. Una VPC puede abarcar todas las zonas de disponibilidad dentro de una región de AWS.,"Una VPC es una sección lógicamente aislada de la nube de AWS donde los usuarios pueden lanzar recursos como instancias de Amazon EC2, bases de datos de Amazon RDS y otros servicios de AWS. Proporciona control sobre los aspectos de la red, incluidas las direcciones IP, las subredes, las tablas de enrutamiento y las puertas de enlace de la red. Al crear una VPC, los usuarios pueden elegir la región de AWS donde residirá. Dentro de esa región, una VPC puede abarcar varias zonas de disponibilidad. Las zonas de disponibilidad son centros de datos separados dentro de una región determinada, cada uno con energía, redes y conectividad redundantes. Al abarcar múltiples zonas de disponibilidad, una VPC puede proporcionar alta disponibilidad y tolerancia a fallas para los recursos implementados en ella.",
22,¿Cuáles de los siguientes son componentes de una conexión VPN de sitio a sitio de AWS? (Escoge dos.),"A. Puerta de enlace de almacenamiento de AWS.
B. Pasarela privada virtual.
C. Puerta de enlace NAT.
D. Portal del cliente.
E. Puerta de enlace de Internet.","B. Pasarela privada virtual.
D. Portal del cliente.",Puerta de enlace privada virtual: una puerta de enlace privada virtual es el lado AWS de la conexión VPN. Sirve como punto de entrada para el tráfico desde la red del cliente a la red de AWS. Puerta de enlace del cliente: una puerta de enlace del cliente es el lado del cliente de la conexión VPN. Representa el dispositivo físico o la aplicación de software ubicada en la red local del cliente.,https://docs.aws.amazon.com/vpn/latest/s2svpn/Examples.html
23,"Una empresa necesita establecer una conexión entre dos VPC. Las VPC están ubicadas en dos regiones de AWS diferentes. Para esta conexión, la empresa quiere utilizar la infraestructura existente de los VPC. ¿Qué servicio o característica de AWS se puede utilizar para establecer esta conexión?","A. VPN de cliente de AWS.
B. Interconexión de VPC.
C. Conexión directa de AWS.
D. Puntos finales de la VPC.",B. Interconexión de VPC.,"Puede crear una conexión de intercambio de tráfico de VPC entre sus propias VPC, con una VPC en otra cuenta de AWS o con una VPC en una región de AWS diferente.",https://docs.aws.amazon.com/vpc/latest/peering/what-is-vpc-peering.html
24,"Según el modelo de responsabilidad compartida de AWS, ¿qué responsabilidad tiene un cliente cuando utiliza Amazon RDS para alojar una base de datos?","A. Administrar conexiones a la base de datos.
B. Instale Microsoft SQL Server.
C. Diseñar estrategias de cifrado en reposo.
D. Aplicar parches menores a la base de datos.",A. Administrar conexiones a la base de datos.,"Amazon RDS cifra sus bases de datos utilizando claves que administra con AWS Key Management Service (KMS). En una instancia de base de datos que se ejecuta con cifrado de Amazon RDS, los datos almacenados en reposo en el almacenamiento subyacente se cifran, al igual que sus copias de seguridad automatizadas, réplicas de lectura e instantáneas. El cifrado de Amazon RDS utiliza el algoritmo de cifrado AES-256 estándar del sector para cifrar sus datos en el servidor que aloja su instancia de Amazon RDS. Diseñar una estrategia de cifrado significa construir la estrategia desde cero (incluida la elección del algoritmo de cifrado que mejor se ajuste a esa estrategia); como se mencionó anteriormente, seleccionar uno es diferente a diseñar/crear uno nuevo.",https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html
25,¿Cuáles son algunas de las ventajas de utilizar instancias de Amazon EC2 para alojar aplicaciones en la nube de AWS en lugar de hacerlo localmente? (Escoge dos.),"A. EC2 incluye administración de parches del sistema operativo.
B. EC2 se integra con Amazon VPC, AWS CloudTrail y AWS Identity and Access Management (IAM).
C. EC2 tiene un acuerdo de nivel de servicio (SLA) del 100 %.
D. EC2 tiene un modelo de precios flexible de pago por uso.
E. EC2 tiene optimización automática de costos de almacenamiento",D. EC2 tiene un modelo de precios flexible de pago por uso.
E. EC2 tiene optimización automática de costos de almacenamiento,,https://aws.amazon.com/ec2/instance-types/
26,Un usuario debe determinar si los grupos de seguridad de una instancia Amazon EC2 se modificaron en el último mes. ¿Cómo puede el usuario ver si se realizó un cambio?,"A. Utilice Amazon EC2 para ver si se cambió el grupo de seguridad.
B. Utilice AWS Identity and Access Management (IAM) para ver qué usuario o rol cambió el grupo de seguridad.
C. Utilice AWS CloudTrail para ver si se cambió el grupo de seguridad.
D. Utilice Amazon CloudWatch para ver si se cambió el grupo de seguridad.",C. Utilice AWS CloudTrail para ver si se cambió el grupo de seguridad.,"CloudTrail registra la actividad del usuario y las llamadas API en los servicios de AWS como eventos. Los eventos de CloudTrail le ayudan a responder las preguntas de ""¿quién hizo qué, dónde y cuándo?",https://aws.amazon.com/cloudtrail/features/
27,¿Qué servicio de AWS ayudará a proteger las aplicaciones que se ejecutan en AWS de ataques DDoS?,"A. Amazon GuardDuty.
B. AWS WAF.
C. AWS Shield.
D. Amazon Inspector.",C. AWS Shield.,"AWS Shield es un servicio administrado que brinda protección contra ataques de denegación de servicio distribuido (DDoS) para aplicaciones que se ejecutan en AWS. AWS Shield Standard se habilita automáticamente para todos los clientes de AWS sin costo adicional. AWS Shield Advanced es un servicio pago opcional. AWS Shield Advanced proporciona protecciones adicionales contra ataques más sofisticados y de mayor tamaño para sus aplicaciones que se ejecutan en Amazon Elastic Compute Cloud (EC2), Elastic Load Balancing (ELB), Amazon CloudFront, AWS Global Accelerator y Route 53.",https://aws.amazon.com/shield/faqs/
28,¿Qué servicio o característica de AWS actúa como firewall para las instancias de Amazon EC2?,"A. ACL de red.
B. Interfaz de red elástica.
C. Amazon VPC.
D. Grupo de seguridad.",D. Grupo de seguridad.,"Un grupo de seguridad actúa como un firewall virtual para que sus instancias EC2 controlen el tráfico entrante y saliente. Las reglas de entrada controlan el tráfico entrante a su instancia y las reglas de salida controlan el tráfico saliente de su instancia. Cuando lanza una instancia, puede especificar uno o más grupos de seguridad.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-security-groups.html
29,¿En qué se diferencia el modelo de precios de la nube de AWS del modelo de precios de almacenamiento local tradicional?,"A. Los recursos de AWS no generan costos.
B. No existen costos operativos de infraestructura.
C. No existen compromisos de costos iniciales.
D. No hay costos de licencia de software.",B. No existen costos operativos de infraestructura.,Reduzca el gasto en almacenamiento Minimice el costo total de propiedad (TCO) con servicios administrados que eliminan el mantenimiento de la infraestructura. Optimice sus costos de almacenamiento en función de la frecuencia y rapidez con la que necesita acceder a sus datos.,https://aws.amazon.com/products/storage/
30,Una empresa tiene una única instancia de Amazon EC2. La empresa quiere adoptar una arquitectura de alta disponibilidad. ¿Qué puede hacer la empresa para cumplir con este requisito?,"A. Escale verticalmente a un tamaño de instancia EC2 más grande.
B. Escalar horizontalmente en múltiples zonas de disponibilidad.
C. Comprar una instancia dedicada EC2.
D. Cambie la familia de instancias EC2 a una instancia optimizada para computación.",B. Escalar horizontalmente en múltiples zonas de disponibilidad.,"Hay dos tipos de escala: vertical y horizontal. Vertical: Significa aumentar la configuración de la misma máquina existente. Horizontal: agregar instancias adicionales para compartir la carga de trabajo, por lo que la respuesta debería ser B",
31,"El ciclo de implementación de aplicaciones locales de una empresa era de 3 a 4 semanas. Después de migrar a la nube de AWS, la empresa puede implementar la aplicación en 2 o 3 días. ¿Qué beneficio ha experimentado esta empresa al migrar a la nube de AWS?","A. Elasticidad.
B. Flexibilidad.
C. Agilidad.
D. Resiliencia.",C. Agilidad.,"La empresa puede responder rápidamente a las necesidades comerciales e implementar aplicaciones más rápidamente, lo que permite un tiempo de comercialización más rápido para nuevas funciones, actualizaciones o correcciones de errores. Esta mayor agilidad permite a la empresa seguir siendo competitiva en un mercado que cambia rápidamente.",https://repost.aws/questions/QU89MN7WVwTcCsNELreRby8A/agilidad-o-elasticidad
32,¿Cuáles de los siguientes están incluidos en AWS Enterprise Support? (Escoge dos.),"A. Administrador de cuentas técnicas (TAM) de AWS.
B. Soporte dirigido por socios de AWS.
C. Servicios profesionales de AWS.
D. Soporte de integración de software de terceros a AWS.
E. Tiempo de respuesta de 5 minutos para problemas críticos.","A. Administrador de cuentas técnicas (TAM) de AWS.
D. Soporte de integración de software de terceros a AWS.","Con el soporte de nivel empresarial, obtiene: Soporte de software de terceros para orientación, configuración y solución de problemas de interoperabilidad de AWS con muchos sistemas operativos, plataformas y componentes de pila de aplicaciones comunes. También tendrá acceso a un administrador técnico de cuentas (TAM) que le brindará orientación operativa y arquitectónica consultiva en el contexto de sus aplicaciones y casos de uso para ayudarlo a lograr el mayor valor de AWS.","https://i.ytimg.com/vi/0LQcq_zyNmg/maxresdefault.jpg, https://aws.amazon.com/premiumsupport/plans/enterprise/"
